gid,gname,chridv,posv,snpid,p_ctl,p_scz
10082,ZNF621,2,181522907,107212,0.5001599,3.464414e-10
10295,BRMS1,20,44747947,704369,0.3146576,1.278668e-10
10295,BRMS1,20,44746982,704367,0.4508558,1.278668e-10
10295,BRMS1,20,44742064,704366,0.4343751,1.655415e-10
10295,BRMS1,20,44740196,704364,0.4343751,1.655415e-10
10197,ENDOV,13,32311696,534438,0.3338072,3.235444e-11
10426,BAIAP2,7,81010851,324226,0.4758187,3.911487e-10
10264,CNTNAP2,15,94371025,601356,0.2633973,4.832587e-10
1348,CYLD,2,50022788,77637,0.9901667,1.605341e-12
1307,C1QTNF3,11,44848821,468456,0.6924367,2.736684e-10
1042,KDM5A,18,11232515,655719,0.1762665,5.753944e-10
1074,ENO1,8,37317145,356509,0.6324077,1.445954e-11
1110,DLG1,8,85054405,365614,0.4937916,3.438275e-10
10907,TRAPPC5,10,18600905,421635,0.5669644,1.275509e-10
10907,TRAPPC5,2,119861103,92757,0.3059772,1.078252e-10
10907,TRAPPC5,3,43877835,135572,0.6206458,1.674433e-10
10808,NRXN1,4,29684913,178882,0.5090168,9.352046e-10
10907,TRAPPC5,1,63874182,18775,0.7507592,1.369081e-10
10907,TRAPPC5,19,45079808,685887,0.6401246,6.91336e-11
10907,TRAPPC5,19,42107207,685048,0.6426286,1.618775e-10
11380,TNFAIP2,20,54465775,707567,0.8675781,1.067474e-10
11380,TNFAIP2,20,54395541,707553,0.4879105,4.50022e-11
11380,TNFAIP2,20,54380555,707549,0.3211281,5.757786e-10
11456,IFIT1,1,48517657,14550,0.8247645,1.568885e-10
11380,TNFAIP2,19,6281607,675468,0.85577,7.221666e-10
11380,TNFAIP2,21,44569554,720088,0.8727193,8.534169e-10
11120,GPR19,19,56303291,690427,0.5767142,1.970228e-11
11230,ADAP2,19,55876074,690238,0.9251898,3.299376e-10
11902,LONP1,2,106653926,90048,0.4909878,5.035927e-10
11530,NAP1L3,17,41726325,640282,0.6292203,7.779435e-10
11566,UBE2H,12,114939288,523552,0.9027166,2.222952e-10
11530,NAP1L3,17,54304717,643348,0.3478381,1.873934e-10
11549,NAP1L2,8,38407075,356763,0.7217434,3.126106e-10
11935,SULT1A1,8,82441040,365164,0.9191023,4.381229e-10
11902,LONP1,16,17502829,610833,0.6010019,4.354952e-10
12061,SND1,2,15870242,67525,0.4427999,3.360871e-11
12221,HIBCH,20,3727970,693254,0.5834705,5.798757e-10
12388,TYW1,9,111613145,404710,0.2462108,1.933523e-10
12264,GFPT1,17,69089507,646957,0.1004516,2.700873e-10
12259,PIM3,14,65228069,569605,0.6366519,3.988767e-11
12426,MFAP3L,7,24239113,311920,0.9491373,7.099547e-11
12927,PNMA6A,2,49394735,77448,0.4062601,8.225579e-10
12977,ARPC4,10,94305409,440464,0.2426471,4.122978e-10
12598,TRIQK,17,30105322,636963,0.2739813,2.919161e-10
12927,PNMA6A,4,76741116,187465,0.564938,1.232185e-15
12934,CKMT1B,16,9218384,608340,0.9787471,4.379945e-11
13045,ABHD14A,2,41415129,74865,0.6706608,6.66386e-10
72,COPZ2,1,221923042,54280,0.3069634,5.379312e-10
204,IFFO1,4,80666077,188503,0.2416847,8.767433e-10
204,IFFO1,4,80663590,188502,0.1085834,8.601811e-10
90,ZFX,7,154246235,341513,0.9247219,1.019414e-10
1517,P2RX7,2,197834551,110115,0.5793936,1.12289e-11
1545,HEPH,4,188945315,211409,0.08411663,3.322866e-11
1699,IKZF5,14,90539350,576449,0.05789646,6.03601e-13
1857,PACSIN2,1,160933065,38049,0.4473798,5.152051e-10
1976,PAPLN,8,62945023,360908,0.1986417,3.808868e-10
1714,TMEM14A,9,1001397,380863,0.3521101,6.512415e-10
1719,ZNF184,8,106520051,370122,0.1034834,3.332659e-10
